id,area,time,population,area_km2,area_population_density,foot_traffic,area_type,socially_vulnerable_zone,minorities_zone,student_zone,nightlife_zone,day_of_week,hour,is_weekend,is_night,weather,incident_count
35945,Veeriku,2026-04-21 04:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,4,0,1,clear,0
35946,Ülejõe,2026-04-21 04:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,4,0,1,clear,0
35947,Annelinn,2026-04-21 05:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,5,0,1,clear,0
35948,Ihaste,2026-04-21 05:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35949,Jaamamõisa,2026-04-21 05:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,5,0,1,clear,0
35950,Karlova,2026-04-21 05:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,5,0,1,clear,0
35951,Kesklinn,2026-04-21 05:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,5,0,1,clear,1
35952,Kvissentali,2026-04-21 05:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35953,Maarjamõisa,2026-04-21 05:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35954,Raadi-Kruusamäe,2026-04-21 05:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35955,Ropka,2026-04-21 05:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,5,0,1,clear,0
35956,Ropka tööstuse,2026-04-21 05:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,5,0,1,clear,0
35957,Ränilinn,2026-04-21 05:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,5,0,1,clear,0
35958,Supilinn,2026-04-21 05:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,5,0,1,clear,0
35959,Tammelinn,2026-04-21 05:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35960,Tähtvere,2026-04-21 05:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,5,0,1,clear,0
35961,Vaksali,2026-04-21 05:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,5,0,1,clear,0
35962,Variku,2026-04-21 05:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,5,0,1,clear,0
35963,Veeriku,2026-04-21 05:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,5,0,1,clear,0
35964,Ülejõe,2026-04-21 05:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,5,0,1,clear,1
35965,Annelinn,2026-04-21 06:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,6,0,0,storm,0
35966,Ihaste,2026-04-21 06:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35967,Jaamamõisa,2026-04-21 06:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,6,0,0,storm,0
35968,Karlova,2026-04-21 06:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,6,0,0,storm,0
35969,Kesklinn,2026-04-21 06:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,6,0,0,storm,0
35970,Kvissentali,2026-04-21 06:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35971,Maarjamõisa,2026-04-21 06:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35972,Raadi-Kruusamäe,2026-04-21 06:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35973,Ropka,2026-04-21 06:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,6,0,0,storm,0
35974,Ropka tööstuse,2026-04-21 06:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,6,0,0,storm,0
35975,Ränilinn,2026-04-21 06:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,6,0,0,storm,0
35976,Supilinn,2026-04-21 06:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,6,0,0,storm,0
35977,Tammelinn,2026-04-21 06:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35978,Tähtvere,2026-04-21 06:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,6,0,0,storm,0
35979,Vaksali,2026-04-21 06:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,6,0,0,storm,0
35980,Variku,2026-04-21 06:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,6,0,0,storm,0
35981,Veeriku,2026-04-21 06:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,6,0,0,storm,0
35982,Ülejõe,2026-04-21 06:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,6,0,0,storm,0
35983,Annelinn,2026-04-21 07:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,7,0,0,storm,0
35984,Ihaste,2026-04-21 07:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35985,Jaamamõisa,2026-04-21 07:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,7,0,0,storm,0
35986,Karlova,2026-04-21 07:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,7,0,0,storm,0
35987,Kesklinn,2026-04-21 07:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,7,0,0,storm,1
35988,Kvissentali,2026-04-21 07:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35989,Maarjamõisa,2026-04-21 07:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35990,Raadi-Kruusamäe,2026-04-21 07:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35991,Ropka,2026-04-21 07:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,7,0,0,storm,0
35992,Ropka tööstuse,2026-04-21 07:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,7,0,0,storm,0
35993,Ränilinn,2026-04-21 07:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,7,0,0,storm,0
35994,Supilinn,2026-04-21 07:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,7,0,0,storm,0
35995,Tammelinn,2026-04-21 07:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35996,Tähtvere,2026-04-21 07:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,7,0,0,storm,0
35997,Vaksali,2026-04-21 07:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,7,0,0,storm,0
35998,Variku,2026-04-21 07:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,7,0,0,storm,0
35999,Veeriku,2026-04-21 07:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,7,0,0,storm,0
36000,Ülejõe,2026-04-21 07:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,7,0,0,storm,0
36001,Annelinn,2026-04-21 08:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,8,0,0,storm,0
36002,Ihaste,2026-04-21 08:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36003,Jaamamõisa,2026-04-21 08:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,8,0,0,storm,0
36004,Karlova,2026-04-21 08:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,8,0,0,storm,0
36005,Kesklinn,2026-04-21 08:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,8,0,0,storm,0
36006,Kvissentali,2026-04-21 08:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36007,Maarjamõisa,2026-04-21 08:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36008,Raadi-Kruusamäe,2026-04-21 08:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36009,Ropka,2026-04-21 08:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,8,0,0,storm,0
36010,Ropka tööstuse,2026-04-21 08:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,8,0,0,storm,0
36011,Ränilinn,2026-04-21 08:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,8,0,0,storm,0
36012,Supilinn,2026-04-21 08:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,8,0,0,storm,0
36013,Tammelinn,2026-04-21 08:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36014,Tähtvere,2026-04-21 08:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,8,0,0,storm,0
36015,Vaksali,2026-04-21 08:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,8,0,0,storm,0
36016,Variku,2026-04-21 08:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,8,0,0,storm,0
36017,Veeriku,2026-04-21 08:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,8,0,0,storm,0
36018,Ülejõe,2026-04-21 08:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,8,0,0,storm,0
36019,Annelinn,2026-04-21 09:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,9,0,0,storm,0
36020,Ihaste,2026-04-21 09:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36021,Jaamamõisa,2026-04-21 09:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,9,0,0,storm,1
36022,Karlova,2026-04-21 09:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,9,0,0,storm,0
36023,Kesklinn,2026-04-21 09:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,9,0,0,storm,0
36024,Kvissentali,2026-04-21 09:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36025,Maarjamõisa,2026-04-21 09:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36026,Raadi-Kruusamäe,2026-04-21 09:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36027,Ropka,2026-04-21 09:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,9,0,0,storm,0
36028,Ropka tööstuse,2026-04-21 09:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,9,0,0,storm,0
36029,Ränilinn,2026-04-21 09:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,9,0,0,storm,0
36030,Supilinn,2026-04-21 09:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,9,0,0,storm,0
36031,Tammelinn,2026-04-21 09:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36032,Tähtvere,2026-04-21 09:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,9,0,0,storm,0
36033,Vaksali,2026-04-21 09:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,9,0,0,storm,0
36034,Variku,2026-04-21 09:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,9,0,0,storm,0
36035,Veeriku,2026-04-21 09:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,9,0,0,storm,0
36036,Ülejõe,2026-04-21 09:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,9,0,0,storm,0
36037,Annelinn,2026-04-21 10:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,10,0,0,storm,0
36038,Ihaste,2026-04-21 10:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36039,Jaamamõisa,2026-04-21 10:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,10,0,0,storm,0
36040,Karlova,2026-04-21 10:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,10,0,0,storm,0
36041,Kesklinn,2026-04-21 10:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,10,0,0,storm,0
36042,Kvissentali,2026-04-21 10:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36043,Maarjamõisa,2026-04-21 10:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36044,Raadi-Kruusamäe,2026-04-21 10:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36045,Ropka,2026-04-21 10:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,10,0,0,storm,0
36046,Ropka tööstuse,2026-04-21 10:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,10,0,0,storm,0
36047,Ränilinn,2026-04-21 10:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,10,0,0,storm,0
36048,Supilinn,2026-04-21 10:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,10,0,0,storm,0
36049,Tammelinn,2026-04-21 10:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36050,Tähtvere,2026-04-21 10:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,10,0,0,storm,0
36051,Vaksali,2026-04-21 10:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,10,0,0,storm,0
36052,Variku,2026-04-21 10:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,10,0,0,storm,0
36053,Veeriku,2026-04-21 10:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,10,0,0,storm,0
36054,Ülejõe,2026-04-21 10:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,10,0,0,storm,0
36055,Annelinn,2026-04-21 11:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,11,0,0,storm,0
36056,Ihaste,2026-04-21 11:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36057,Jaamamõisa,2026-04-21 11:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,11,0,0,storm,0
36058,Karlova,2026-04-21 11:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,11,0,0,storm,0
36059,Kesklinn,2026-04-21 11:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,11,0,0,storm,0
36060,Kvissentali,2026-04-21 11:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36061,Maarjamõisa,2026-04-21 11:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36062,Raadi-Kruusamäe,2026-04-21 11:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36063,Ropka,2026-04-21 11:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,11,0,0,storm,0
36064,Ropka tööstuse,2026-04-21 11:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,11,0,0,storm,0
36065,Ränilinn,2026-04-21 11:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,11,0,0,storm,0
36066,Supilinn,2026-04-21 11:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,11,0,0,storm,0
36067,Tammelinn,2026-04-21 11:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36068,Tähtvere,2026-04-21 11:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,11,0,0,storm,0
36069,Vaksali,2026-04-21 11:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,11,0,0,storm,0
36070,Variku,2026-04-21 11:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,11,0,0,storm,0
36071,Veeriku,2026-04-21 11:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,11,0,0,storm,0
36072,Ülejõe,2026-04-21 11:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,11,0,0,storm,0
36073,Annelinn,2026-04-21 12:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,12,0,0,clear,0
36074,Ihaste,2026-04-21 12:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36075,Jaamamõisa,2026-04-21 12:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,12,0,0,clear,0
36076,Karlova,2026-04-21 12:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,12,0,0,clear,0
36077,Kesklinn,2026-04-21 12:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,12,0,0,clear,0
36078,Kvissentali,2026-04-21 12:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36079,Maarjamõisa,2026-04-21 12:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36080,Raadi-Kruusamäe,2026-04-21 12:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36081,Ropka,2026-04-21 12:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,12,0,0,clear,0
36082,Ropka tööstuse,2026-04-21 12:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,12,0,0,clear,0
36083,Ränilinn,2026-04-21 12:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,12,0,0,clear,0
36084,Supilinn,2026-04-21 12:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,12,0,0,clear,0
36085,Tammelinn,2026-04-21 12:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36086,Tähtvere,2026-04-21 12:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,12,0,0,clear,0
36087,Vaksali,2026-04-21 12:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,12,0,0,clear,2
36088,Variku,2026-04-21 12:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,12,0,0,clear,0
36089,Veeriku,2026-04-21 12:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,12,0,0,clear,0
36090,Ülejõe,2026-04-21 12:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,12,0,0,clear,0
36091,Annelinn,2026-04-21 13:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,13,0,0,clear,0
36092,Ihaste,2026-04-21 13:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36093,Jaamamõisa,2026-04-21 13:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,13,0,0,clear,0
36094,Karlova,2026-04-21 13:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,13,0,0,clear,0
36095,Kesklinn,2026-04-21 13:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,13,0,0,clear,0
36096,Kvissentali,2026-04-21 13:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36097,Maarjamõisa,2026-04-21 13:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36098,Raadi-Kruusamäe,2026-04-21 13:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36099,Ropka,2026-04-21 13:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,13,0,0,clear,0
36100,Ropka tööstuse,2026-04-21 13:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,13,0,0,clear,0
36101,Ränilinn,2026-04-21 13:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,13,0,0,clear,0
36102,Supilinn,2026-04-21 13:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,13,0,0,clear,0
36103,Tammelinn,2026-04-21 13:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36104,Tähtvere,2026-04-21 13:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,13,0,0,clear,0
36105,Vaksali,2026-04-21 13:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,13,0,0,clear,0
36106,Variku,2026-04-21 13:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,13,0,0,clear,0
36107,Veeriku,2026-04-21 13:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,13,0,0,clear,0
36108,Ülejõe,2026-04-21 13:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,13,0,0,clear,0
36109,Annelinn,2026-04-21 14:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,14,0,0,clear,0
36110,Ihaste,2026-04-21 14:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36111,Jaamamõisa,2026-04-21 14:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,14,0,0,clear,0
36112,Karlova,2026-04-21 14:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,14,0,0,clear,0
36113,Kesklinn,2026-04-21 14:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,14,0,0,clear,1
36114,Kvissentali,2026-04-21 14:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36115,Maarjamõisa,2026-04-21 14:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36116,Raadi-Kruusamäe,2026-04-21 14:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36117,Ropka,2026-04-21 14:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,14,0,0,clear,0
36118,Ropka tööstuse,2026-04-21 14:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,14,0,0,clear,0
36119,Ränilinn,2026-04-21 14:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,14,0,0,clear,0
36120,Supilinn,2026-04-21 14:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,14,0,0,clear,0
36121,Tammelinn,2026-04-21 14:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36122,Tähtvere,2026-04-21 14:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,14,0,0,clear,0
36123,Vaksali,2026-04-21 14:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,14,0,0,clear,0
36124,Variku,2026-04-21 14:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,14,0,0,clear,0
36125,Veeriku,2026-04-21 14:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,14,0,0,clear,0
36126,Ülejõe,2026-04-21 14:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,14,0,0,clear,0
36127,Annelinn,2026-04-21 15:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,15,0,0,clear,0
36128,Ihaste,2026-04-21 15:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,15,0,0,clear,0
36129,Jaamamõisa,2026-04-21 15:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,15,0,0,clear,0
36130,Karlova,2026-04-21 15:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,15,0,0,clear,0
36131,Kesklinn,2026-04-21 15:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,15,0,0,clear,0
36132,Kvissentali,2026-04-21 15:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,15,0,0,clear,0
36133,Maarjamõisa,2026-04-21 15:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,15,0,0,clear,0
36134,Raadi-Kruusamäe,2026-04-21 15:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,15,0,0,clear,1
36135,Ropka,2026-04-21 15:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,15,0,0,clear,0
36136,Ropka tööstuse,2026-04-21 15:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,15,0,0,clear,0
36137,Ränilinn,2026-04-21 15:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,15,0,0,clear,0
36138,Supilinn,2026-04-21 15:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,15,0,0,clear,1
36139,Tammelinn,2026-04-21 15:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,15,0,0,clear,0
36140,Tähtvere,2026-04-21 15:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,15,0,0,clear,0
36141,Vaksali,2026-04-21 15:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,15,0,0,clear,0
36142,Variku,2026-04-21 15:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,15,0,0,clear,0
36143,Veeriku,2026-04-21 15:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,15,0,0,clear,0
36144,Ülejõe,2026-04-21 15:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,15,0,0,clear,0
36145,Annelinn,2026-04-21 16:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,16,0,0,clear,0
36146,Ihaste,2026-04-21 16:00:00,3050,4.8,635,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36147,Jaamamõisa,2026-04-21 16:00:00,3464,1.5,2309,low,residential,1,1,0,0,Tuesday,16,0,0,clear,0
36148,Karlova,2026-04-21 16:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Tuesday,16,0,0,clear,0
36149,Kesklinn,2026-04-21 16:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Tuesday,16,0,0,clear,0
36150,Kvissentali,2026-04-21 16:00:00,865,1.509,573,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36151,Maarjamõisa,2026-04-21 16:00:00,477,1.133,421,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36152,Raadi-Kruusamäe,2026-04-21 16:00:00,4804,2.828,1699,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36153,Ropka,2026-04-21 16:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Tuesday,16,0,0,clear,0
36154,Ropka tööstuse,2026-04-21 16:00:00,2198,3.249,676,low,commercial,1,1,0,0,Tuesday,16,0,0,clear,0
36155,Ränilinn,2026-04-21 16:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Tuesday,16,0,0,clear,0
36156,Supilinn,2026-04-21 16:00:00,2307,0.483,4776,low,residential,1,0,1,0,Tuesday,16,0,0,clear,0
36157,Tammelinn,2026-04-21 16:00:00,8118,3.182,2551,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36158,Tähtvere,2026-04-21 16:00:00,3158,2.5,1263,low,residential,0,0,0,0,Tuesday,16,0,0,clear,0
36159,Vaksali,2026-04-21 16:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Tuesday,16,0,0,clear,0
36160,Variku,2026-04-21 16:00:00,1714,0.761,2252,low,residential,1,0,0,0,Tuesday,16,0,0,clear,0
36161,Veeriku,2026-04-21 16:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Tuesday,16,0,0,clear,0
36162,Ülejõe,2026-04-21 16:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Tuesday,16,0,0,clear,0
36163,Annelinn,2026-04-21 17:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Tuesday,17,0,0,clear,0
